city,city_population,n_watersheds,n_other_cities,dependent_city_pop,watershed_area_sqkm,storage_BCM,yield_BCM,irr_cons_BCM,n_climate_zones,n_hydro_plants,n_thermal_plants,n_fac_agcrop,n_fac_aglivestock,n_fac_cnsmnf,n_fac_mining,n_fac_oilgas,n_fac_total,hydro_gen_MWh,thermal_gen_MWh,thermal_cons_BCM,thermal_with_BCM,n_utilities,n_ba,n_crop_classes,cropland_fraction,developed_fraction,ag_runoff_max,ag_runoff_av_exgw,ag_runoff_av,dev_runoff_max,dev_runoff_av_exgw,dev_runoff_av,np_runoff_max,np_runoff_av_exgw,np_runoff_av_exgw_unweighted,np_runoff_av,n_economic_sectors,max_withdr_dist_km,avg_withdr_dis_km,n_treatment_plants,watershed_pop,pop_cons_m3sec,av_fl_sur_conc_pct,av_fl_sur_conc_pct_unweighted,av_ro_sur_conc_pct,av_fl_all_conc_pct,av_ro_all_conc_pct,av_fl_max_conc_pct,av_ro_max_conc_pct,surface_contribution_pct,importance_of_worst_watershed_pct
Portland | OR,653115,1,1,653115,280.752568964628,0.09700086720000001,0.09308005986877707,0,1,1,0,0,0,0,0,0,0,55263.24,0,0,0,0,0,0,0,0.00445294719134479,0,0,0,1.7150785197657155e-5,1.7150785197657155e-5,1.7150785197657155e-5,1.7150785197657155e-5,1.7150785197657155e-5,1.7150785197657155e-5,1.7150785197657155e-5,4,40.923236324314225,40.923236324314225,0,19.63243456334214,4.544555217591565e-5,0,0,0,0,0,0,0,100,100
Knoxville | TN,187500,1,2,159230,23196.0275543981,5.166717270708,0.2792401796063312,0.01327235347667886,2,13,4,0,7,149,20,0,569,1633153.232,8595013.632,0.01050829816,0.9841422480299999,4,4,7,0.039288660019987647,0.12170246970228112,0.0017350003062063868,0.0017350003062063868,0.0017350003062063868,0.01873168108200617,0.01873168108200617,0.01873168108200617,0.020466681388212556,0.020466681388212556,0.020466681388212556,0.020466681388212556,13,5.942854377253792,5.942854377253792,0,1559518.539986058,3.6100047067305265,1.442117907757205,1.442117907757205,1.7276066277219206,1.442117907757205,1.7276066277219206,1.442117907757205,1.7276066277219206,100,100
New York | NY,8398748,8,1,8398748,5203.879926427147,2.3480124399,0.7446404789502166,0.004618970160560977,3,5,0,0,3,45,7,0,377,155873.63,0,0,0,0,0,7,0.04730159933297961,0.08224816190404002,0.020710747218289086,0.003403682682629656,0.003403682682629656,0.39669288248351003,0.026322811719809946,0.026322811719809946,0.3966933152780279,0.029726494402439605,0.06676991537138992,0.029726494402439605,13,191.50963674181048,130.7114731593111,0,256644.25497703574,0.594085254305942,0.17570864495572655,0.3212001217585185,0.19465814654989172,0.17570864495572655,0.19465814654989172,1.363024081870357,1.1503137980384628,100,5
Indianapolis | IN,867125,2,1,867125,4564.3384427401,0.11201108532000001,0.18616011973755414,0.008511330303395868,2,0,2,0,3,226,17,0,2590,0,184897.57317073172,1.7791427e-4,2.4605165e-4,2,1,7,0.6037272054235044,0.22753086060779573,0.8135637869956934,0.787582595296829,0.653693554096368,0.14404850071045436,0.13193671946952285,0.10950747715970396,0.943251175663329,0.9195193147663517,0.8674917735691323,0.7632010312560719,11,13.02294691860174,7.3168443725411665,0,929968.2800081216,2.1527091739284003,5.8410898944481975,5.961569585484353,5.138154457521095,4.848104612392004,4.264668199742508,6.137004925063317,5.6368230243636654,83,13
Seattle | WA,744955,2,1,744955,400.03074344579454,0.208334772,0.18616011973755414,0,2,1,0,0,0,0,0,0,0,74449.12,0,0,0,0,0,1,2.22995272500223e-5,0.07601908839532602,0,0,0,0.0066085001464491425,0.005919150227672161,0.005919150227672161,0.0066085001464491425,0.005919150227672161,0.005459583615154175,0.005919150227672161,7,48.461821441056024,42.87228390354994,0,1245.807020860509,0.002883819008028324,0,0,0,0,0,0,0,100,70
